"","sample","type","value","lab","iso"
"229","TIE","Baking-Not Baking",-0.09,"UU","C"
"230","TIE","Treated-Untreated",-0.15,"UU","C"
"231","TIE","Treated-Untreated",0.28,"UU","O"
"232","TIE","Treated-Untreated",0.71,"DPAA","O"
"233","TIE","Baking-Not Baking, Treated",-0.51,"UU","O"
"234","TIE","Baking-Not Baking, Treated",-0.11,"UU","C"
"235","BOO-11","Untreated",0.15,"interlab","C"
"236","BOO-11","Treated",1,"interlab","C"
"237","BOO-11","Untreated & Baked",0.1,"interlab","C"
"238","BOO-11","Untreated",0.77,"interlab","O"
"239","BOO-11","Untreated (50)",-0.22,"interlab","C"
"240","BOO-11","Untreated (50)",2.42,"interlab","O"
"241","BOO-11","Untreated (30)",0.04,"interlab","C"
"242","BOO-11","Untreated & Baked",1.38,"interlab","O"
"243","BOO-11","Untreated (30)",0.77,"interlab","O"
"244","BOO-11","Treated",1.53,"interlab","O"
"245","BOO-11","Baking-Not Baking",-0.01,"DPAA","C"
"246","BOO-11","50-30, Untreated",-0.37,"DPAA","C"
"247","BOO-11","Baking-Not Baking",-0.64,"DPAA","O"
"248","BOO-11","50-30, Untreated",1.65,"DPAA","O"
"249","BOO-11","Treated-Untreated",0.15,"DPAA","C"
"250","BOO-11","Baking-Not Baking, Treated",-0.03,"DPAA","C"
"251","BOO-11","50-30, Treated",-0.54,"DPAA","C"
"252","BOO-11","Baking-Not Baking, Treated",-0.78,"DPAA","O"
"253","BOO-11","50-30, Treated",2.05,"DPAA","O"
"254","BOO-11","Baking-Not Baking",-1.25,"UU","O"
"255","BOO-11","Baking-Not Baking",0.04,"UU","C"
"256","BOO-11","Treated-Untreated",-0.71,"UU","C"
"257","BOO-11","Treated-Untreated",-0.37,"UU","O"
"258","BOO-11","Treated-Untreated",0.39,"DPAA","O"
"259","BOO-11","Baking-Not Baking, Treated",-0.64,"UU","O"
"260","BOO-11","Baking-Not Baking, Treated",0.12,"UU","C"
